rank,classifier,options,dataset,score
1,SVM/C,"{'kernel': 'rbf', 'C': 3.7500000000000013, 'gamma': 0.10000000000000001}",v8,0.987630208333
2,SVM/C,"{'kernel': 'rbf', 'C': 3.8500000000000014, 'gamma': 0.10000000000000001}",v7,0.986328125
3,SVM/C,"{'kernel': 'rbf', 'C': 3.7000000000000015, 'gamma': 0.15000000000000002}",v6,0.984375
4,SVM/C,"{'kernel': 'rbf', 'C': 3.6500000000000012, 'gamma': 0.15000000000000002}",Cleaned+Extended+MinMaxScaled,0.98046875
5,SVM/C,"{'kernel': 'rbf', 'C': 2.5500000000000007, 'gamma': 0.15000000000000002}",v4,0.977864583333
6,kNN,{'n_neighbors': 3},v8,0.973958333333
7,kNN,{'n_neighbors': 4},v7,0.970703125
8,kNN,{'n_neighbors': 3},v6,0.96875
9,kNN,{'n_neighbors': 3},Cleaned+Extended+MinMaxScaled,0.967447916667
10,kNN,{'n_neighbors': 5},v4,0.964192708333
11,SVM/C,"{'kernel': 'rbf', 'C': 3.8000000000000012, 'gamma': 0.95000000000000029}",Cleaned+MinMaxScaled,0.962890625
12,kNN,{'n_neighbors': 3},Cleaned+MinMaxScaled,0.9453125
