,area,contours,radius,hull_radius,centroid_x,centroid_y,weight_0_0,weight_0_1,weight_0_2,weight_0_3,weight_1_0,weight_1_1,weight_1_2,weight_1_3,weight_2_0,weight_2_1,weight_2_2,weight_2_3,weight_3_0,weight_3_1,weight_3_2,weight_3_3,num_holes,label
0,288.0,36,11.5358128663,12.6330421184,14.1990740741,19.3159722222,0.0,38.0,0.0,0.0,11.0,37.0,0.0,0.0,13.0,55.0,54.0,6.0,1.0,46.0,45.0,5.0,1,6
1,348.5,39,10.7099967335,13.7329477827,15.2721186035,14.962219034,3.0,38.0,51.0,2.0,9.0,48.0,39.0,1.0,0.0,38.0,34.0,0.0,0.0,36.0,45.0,0.0,2,8
2,345.0,48,11.1867958687,14.4449917224,14.761352657,15.1884057971,0.0,33.0,56.0,14.0,0.0,47.0,60.0,2.0,15.0,64.0,29.0,0.0,13.0,61.0,26.0,0.0,0,1
3,243.0,42,10.3764870715,12.9153619298,18.5802469136,10.7873799726,0.0,37.0,64.0,30.0,0.0,26.0,49.0,18.0,0.0,1.0,39.0,0.0,0.0,20.0,20.0,0.0,0,9
4,213.0,48,9.84895348961,13.6950019657,16.989827856,15.6744913928,7.0,47.0,28.0,0.0,3.0,8.0,46.0,0.0,0.0,10.0,36.0,13.0,0.0,37.0,50.0,6.0,0,3
5,290.5,51,10.4647764075,12.8799672008,18.421686747,11.1153184165,0.0,20.0,45.0,36.0,1.0,49.0,43.0,24.0,0.0,12.0,34.0,2.0,0.0,9.0,25.0,0.0,1,9
6,274.0,44,9.85511585644,13.4103976385,14.5736009732,18.3771289538,0.0,17.0,30.0,0.0,0.0,37.0,17.0,0.0,14.0,61.0,55.0,3.0,12.0,36.0,44.0,1.0,0,4
7,295.5,40,9.89914573875,13.1231793163,16.8917089679,14.8003384095,0.0,54.0,40.0,0.0,0.0,40.0,60.0,4.0,0.0,4.0,57.0,8.0,0.0,42.0,47.0,0.0,0,9
8,266.5,50,9.32866401572,14.7964070069,15.0475297061,11.6729205754,11.0,62.0,64.0,21.0,11.0,15.0,48.0,0.0,0.0,32.0,21.0,0.0,2.0,56.0,1.0,0.0,0,7
9,225.5,49,10.2683021048,14.5809254914,14.2527716186,17.844789357,11.0,55.0,9.0,0.0,5.0,27.0,12.0,0.0,0.0,41.0,1.0,0.0,2.0,49.0,64.0,15.0,0,2
10,387.5,45,11.3014877021,14.295739733,16.4008602151,16.1776344086,5.0,46.0,32.0,0.0,14.0,38.0,45.0,3.0,0.0,29.0,54.0,5.0,0.0,37.0,52.0,26.0,2,8
