area,contours,radius,hull_radius,centroid_x,centroid_y,weight_0_1,weight_0_2,weight_0_3,weight_0_4,weight_0_5,weight_0_6,weight_0_7,weight_1_1,weight_1_2,weight_1_3,weight_1_4,weight_1_5,weight_1_6,weight_1_7,weight_2_1,weight_2_2,weight_2_3,weight_2_4,weight_2_5,weight_2_6,weight_3_1,weight_3_2,weight_3_3,weight_3_4,weight_3_5,weight_3_6,weight_4_1,weight_4_2,weight_4_3,weight_4_4,weight_4_5,weight_4_6,weight_5_1,weight_5_2,weight_5_3,weight_5_4,weight_5_5,weight_5_6,weight_6_1,weight_6_2,weight_6_3,weight_6_4,weight_6_5,weight_6_6,weight_6_7,weight_7_1,weight_7_2,weight_7_3,weight_7_4,weight_7_5,weight_7_6,weight_7_7,num_holes,label
288.0,36,11.5358128663,12.6330421184,14.1990740741,19.3159722222,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,16.0,13.0,0.0,0.0,16.0,7.0,9.0,16.0,0.0,0.0,14.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,9.0,0.0,0.0,1,6
348.5,39,10.7099967335,13.7329477827,15.2721186035,14.962219034,0.0,0.0,12.0,16.0,12.0,0.0,0.0,0.0,13.0,10.0,7.0,16.0,0.0,0.0,9.0,16.0,10.0,12.0,11.0,0.0,0.0,6.0,16.0,16.0,0.0,0.0,0.0,7.0,14.0,15.0,0.0,0.0,0.0,12.0,0.0,6.0,11.0,0.0,0.0,11.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,16.0,16.0,6.0,0.0,0.0,2,8
345.0,48,11.1867958687,14.4449917224,14.761352657,15.1884057971,0.0,6.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,10.0,16.0,16.0,12.0,0.0,0.0,0.0,14.0,16.0,16.0,0.0,0.0,12.0,16.0,16.0,12.0,0.0,6.0,16.0,16.0,14.0,0.0,0.0,9.0,16.0,16.0,11.0,0.0,0.0,12.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,13.0,16.0,12.0,6.0,0.0,0.0,0,1
243.0,42,10.3764870715,12.9153619298,18.5802469136,10.7873799726,0.0,0.0,11.0,16.0,16.0,14.0,0.0,0.0,10.0,16.0,16.0,16.0,15.0,0.0,0.0,11.0,15.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0,9
213.0,48,9.84895348961,13.6950019657,16.989827856,15.6744913928,0.0,11.0,16.0,10.0,0.0,0.0,0.0,7.0,12.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,7.0,15.0,11.0,0.0,0.0,0.0,10.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,10.0,16.0,16.0,16.0,0.0,0.0,0,3
290.5,51,10.4647764075,12.8799672008,18.421686747,11.1153184165,0.0,0.0,0.0,12.0,16.0,10.0,0.0,0.0,0.0,15.0,7.0,10.0,16.0,6.0,0.0,11.0,6.0,0.0,11.0,16.0,0.0,16.0,16.0,16.0,16.0,7.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,1,9
274.0,44,9.85511585644,13.4103976385,14.5736009732,18.3771289538,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,7.0,16.0,7.0,0.0,0.0,0.0,13.0,16.0,16.0,7.0,0.0,12.0,16.0,16.0,16.0,16.0,0.0,11.0,12.0,15.0,16.0,12.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0,4
295.5,40,9.89914573875,13.1231793163,16.8917089679,14.8003384095,0.0,8.0,16.0,14.0,0.0,0.0,0.0,0.0,14.0,16.0,16.0,9.0,0.0,0.0,0.0,10.0,16.0,16.0,14.0,0.0,0.0,0.0,12.0,14.0,16.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0,9
266.5,50,9.32866401572,14.7964070069,15.0475297061,11.6729205754,0.0,14.0,16.0,16.0,16.0,15.0,0.0,9.0,16.0,16.0,16.0,16.0,6.0,0.0,11.0,13.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0,7
225.5,49,10.2683021048,14.5809254914,14.2527716186,17.844789357,0.0,11.0,16.0,0.0,0.0,0.0,0.0,10.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,8.0,0.0,0.0,7.0,10.0,16.0,16.0,7.0,0.0,0,2
387.5,45,11.3014877021,14.295739733,16.4008602151,16.1776344086,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,14.0,16.0,16.0,8.0,0.0,0.0,12.0,12.0,0.0,6.0,16.0,0.0,0.0,14.0,12.0,7.0,16.0,0.0,0.0,0.0,12.0,16.0,13.0,0.0,0.0,0.0,15.0,9.0,16.0,0.0,0.0,10.0,16.0,0.0,16.0,12.0,0.0,0.0,0.0,10.0,16.0,16.0,14.0,0.0,2,8
234.5,43,9.97004706354,13.7513076075,15.8351101635,15.4818763326,0.0,10.0,16.0,16.0,0.0,0.0,0.0,0.0,15.0,14.0,12.0,6.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,11.0,16.0,14.0,0.0,0.0,0.0,0.0,8.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,12.0,13.0,16.0,0.0,0.0,0.0,6.0,16.0,16.0,11.0,0.0,0.0,0,5
279.5,48,9.67667106674,12.6089705983,16.9582587955,13.4496124031,0.0,6.0,16.0,16.0,7.0,0.0,0.0,0.0,8.0,12.0,16.0,16.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,0.0,0.0,11.0,16.0,16.0,16.0,8.0,0.0,0.0,15.0,16.0,16.0,9.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0,7
257.0,58,9.65232421216,13.3429193771,15.0207522698,13.6180285344,0.0,14.0,12.0,8.0,8.0,0.0,0.0,0.0,16.0,16.0,13.0,11.0,0.0,0.0,6.0,16.0,10.0,0.0,0.0,0.0,6.0,16.0,16.0,15.0,6.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,16.0,8.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0,5
432.0,34,12.0107913829,12.9597748816,15.9517746914,15.8599537037,0.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0,15.0,15.0,14.0,11.0,0.0,0.0,0.0,16.0,8.0,0.0,15.0,0.0,0.0,16.0,6.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,8.0,9.0,0.0,16.0,0.0,0.0,11.0,9.0,0.0,11.0,13.0,9.0,16.0,0.0,0.0,0.0,0.0,12.0,16.0,11.0,0.0,0.0,1,0
335.5,35,10.9554927175,14.2807434986,15.7054148038,16.8569299553,0.0,6.0,16.0,11.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,14.0,9.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,13.0,12.0,16.0,0.0,0.0,2,8
242.5,54,9.78703829651,13.9295321498,16.1725085911,14.5766323024,0.0,6.0,16.0,16.0,16.0,14.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,12.0,7.0,0.0,0.0,11.0,6.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,12.0,15.0,0.0,0.0,0.0,11.0,16.0,14.0,0.0,0.0,0.0,0,5
232.0,61,9.59512499125,12.6596505221,15.6264367816,16.9820402299,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,11.0,10.0,0.0,12.0,8.0,6.0,16.0,7.0,7.0,16.0,0.0,9.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,7.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0,4
247.5,46,9.54749727319,13.797069994,15.6397306397,13.9831649832,0.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,12.0,16.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,10.0,16.0,13.0,0.0,0.0,0.0,16.0,16.0,16.0,8.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0,7
354.5,45,10.8654793331,13.6268842185,16.0785143394,13.9896567936,0.0,6.0,14.0,16.0,9.0,0.0,0.0,0.0,16.0,12.0,13.0,16.0,0.0,0.0,6.0,16.0,0.0,0.0,16.0,0.0,0.0,15.0,13.0,13.0,16.0,0.0,0.0,0.0,7.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,11.0,7.0,16.0,0.0,0.0,0.0,13.0,16.0,16.0,16.0,0.0,0.0,1,9
209.0,60,9.49892465076,14.1232372505,14.6578947368,16.1188197767,0.0,0.0,8.0,16.0,8.0,0.0,0.0,0.0,10.0,14.0,15.0,13.0,0.0,0.0,0.0,13.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,10.0,16.0,14.0,12.0,8.0,0.0,0.0,0.0,0.0,7.0,10.0,16.0,0.0,0.0,0,2
