area,width,contours,radius,centroid_x,centroid_y,corners,circles,angle,weight_0_2,weight_0_3,weight_0_4,weight_0_5,weight_0_6,weight_1_1,weight_1_2,weight_1_3,weight_1_4,weight_1_5,weight_1_6,weight_2_1,weight_2_2,weight_2_3,weight_2_4,weight_2_5,weight_2_6,weight_3_1,weight_3_2,weight_3_3,weight_3_4,weight_3_5,weight_3_6,weight_4_1,weight_4_2,weight_4_3,weight_4_4,weight_4_5,weight_4_6,weight_5_1,weight_5_2,weight_5_3,weight_5_4,weight_5_5,weight_5_6,weight_6_1,weight_6_2,weight_6_3,weight_6_4,weight_6_5,weight_6_6,weight_7_2,weight_7_3,weight_7_4,weight_7_5,weight_7_6,weight_7_7,num_holes,label
285.0,19.0,32.0,11.5909847476,14.1274853801,19.3438596491,21.0,1.0,60.945394516,0.0,9.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,16.0,13.0,0.0,0.0,16.0,7.0,9.0,16.0,0.0,0.0,14.0,12.0,0.0,16.0,0.0,0.0,15.0,16.0,8.0,0.0,0.0,1.0,6
338.0,20.0,46.0,9.55674475423,15.3979289941,14.9482248521,28.0,3.0,90.0,0.0,10.0,16.0,11.0,0.0,0.0,10.0,10.0,6.0,16.0,0.0,9.0,16.0,6.0,12.0,11.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,6.0,12.0,15.0,0.0,0.0,0.0,10.0,0.0,6.0,11.0,0.0,0.0,10.0,0.0,10.0,12.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,2.0,8
333.5,22.0,50.0,11.0087348899,14.924037981,15.0544727636,20.0,0.0,-75.3791275024,0.0,12.0,12.0,8.0,0.0,0.0,0.0,10.0,16.0,16.0,12.0,0.0,0.0,14.0,16.0,16.0,0.0,0.0,8.0,16.0,16.0,12.0,0.0,6.0,16.0,16.0,14.0,0.0,0.0,8.0,16.0,16.0,11.0,0.0,0.0,10.0,16.0,16.0,6.0,0.0,0.0,10.0,14.0,12.0,0.0,0.0,0.0,0.0,1
233.5,20.0,44.0,9.6839744804,18.5667380443,10.4325481799,28.0,1.0,90.0,0.0,9.0,14.0,16.0,12.0,0.0,10.0,14.0,6.0,11.0,15.0,0.0,11.0,15.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,9
208.0,20.0,52.0,9.88874055958,17.1017628205,15.8052884615,23.0,2.0,81.8698978424,9.0,12.0,8.0,0.0,0.0,7.0,12.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,7.0,15.0,11.0,0.0,0.0,0.0,9.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,7.0,0.0,14.0,0.0,8.0,14.0,16.0,14.0,0.0,0.0,0.0,3
281.5,21.0,50.0,10.4883730492,18.6015393724,10.9100059207,34.0,2.0,-63.4349517822,0.0,0.0,10.0,15.0,9.0,0.0,0.0,15.0,7.0,9.0,16.0,0.0,11.0,6.0,0.0,10.0,16.0,0.0,12.0,14.0,16.0,16.0,7.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,1.0,9
239.0,21.0,47.0,8.57036387676,14.3870292887,18.3312412831,21.0,1.0,-64.5366516113,0.0,0.0,15.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,13.0,9.0,13.0,0.0,0.0,12.0,16.0,14.0,16.0,13.0,0.0,11.0,12.0,14.0,16.0,12.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,4
274.0,15.0,32.0,8.90340972035,16.7433090024,14.6557177616,16.0,2.0,90.0,0.0,13.0,14.0,0.0,0.0,0.0,12.0,16.0,16.0,9.0,0.0,0.0,10.0,16.0,16.0,14.0,0.0,0.0,0.0,12.0,14.0,16.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,16.0,16.0,14.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,9
262.0,22.0,51.0,8.84004391793,14.9580152672,11.7792620865,23.0,1.0,90.0,12.0,16.0,16.0,16.0,12.0,9.0,16.0,16.0,15.0,16.0,6.0,11.0,13.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,7
216.0,21.0,44.0,9.60747637135,14.3233024691,17.8047839506,25.0,0.0,83.9909944534,9.0,15.0,0.0,0.0,0.0,8.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,13.0,8.0,7.0,9.0,14.0,16.0,7.0,0.0,0.0,2
