area,width,contours,radius,circle_dist,rect_dist,hull_radius,aspect_ratio,centroid_x,centroid_y,corners,circles,angle,weight_0_0,weight_0_1,weight_0_2,weight_0_3,weight_0_4,weight_0_5,weight_0_6,weight_0_7,weight_1_0,weight_1_1,weight_1_2,weight_1_3,weight_1_4,weight_1_5,weight_1_6,weight_1_7,weight_2_0,weight_2_1,weight_2_2,weight_2_3,weight_2_4,weight_2_5,weight_2_6,weight_2_7,weight_3_0,weight_3_1,weight_3_2,weight_3_3,weight_3_4,weight_3_5,weight_3_6,weight_3_7,weight_4_0,weight_4_1,weight_4_2,weight_4_3,weight_4_4,weight_4_5,weight_4_6,weight_4_7,weight_5_0,weight_5_1,weight_5_2,weight_5_3,weight_5_4,weight_5_5,weight_5_6,weight_5_7,weight_6_0,weight_6_1,weight_6_2,weight_6_3,weight_6_4,weight_6_5,weight_6_6,weight_6_7,weight_7_0,weight_7_1,weight_7_2,weight_7_3,weight_7_4,weight_7_5,weight_7_6,weight_7_7,num_holes,label
285.0,19,32,11.5909847476,0.837037108113,0.180208425798,12.3581529403,0.583061965718,14.1274853801,19.3438596491,21,1,60.945394516,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,16.0,13.0,0.0,0.0,0.0,0.0,16.0,7.0,9.0,16.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,8.0,0.0,0.0,1,6
338.0,20,46,9.55674475423,0.690732453019,0.123411978221,13.7950527571,0.655172413793,15.3979289941,14.9482248521,28,3,90.0,0.0,0.0,0.0,10.0,16.0,11.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,16.0,0.0,0.0,0.0,9.0,16.0,6.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,2,8
333.5,22,50,11.0087348899,0.578745247607,0.0185629242443,14.5042920311,1.83499996486,14.924037981,15.0544727636,20,0,-75.3791275024,0.0,0.0,0.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,14.0,16.0,16.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,12.0,0.0,0.0,0.0,6.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,11.0,0.0,0.0,0.0,0.0,10.0,16.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,12.0,0.0,0.0,0.0,0,1
233.5,20,44,9.6839744804,0.652535266677,0.246823956443,12.6675274466,0.655172413793,18.5667380443,10.4325481799,28,1,90.0,0.0,0.0,0.0,9.0,14.0,16.0,12.0,0.0,0.0,0.0,10.0,14.0,6.0,11.0,15.0,0.0,0.0,0.0,11.0,15.0,16.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1,9
208.0,20,52,9.88874055958,0.697098650743,0.0835611152136,13.6993392075,0.5648148258,17.1017628205,15.8052884615,23,2,81.8698978424,0.0,0.0,9.0,12.0,8.0,0.0,0.0,0.0,0.0,7.0,12.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,14.0,16.0,14.0,0.0,0.0,0,3
281.5,21,50,10.4883730492,0.655718365539,0.225352065501,12.6653485533,1.86842111466,18.6015393724,10.9100059207,34,2,-63.4349517822,0.0,0.0,0.0,0.0,10.0,15.0,9.0,0.0,0.0,0.0,0.0,15.0,7.0,9.0,16.0,6.0,0.0,0.0,11.0,6.0,0.0,10.0,16.0,0.0,0.0,0.0,12.0,14.0,16.0,16.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,1,9
239.0,21,47,8.57036387676,0.652535266677,0.222413050038,13.2824576557,1.54651162311,14.3870292887,18.3312412831,21,1,-64.5366516113,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,13.0,0.0,0.0,0.0,0.0,12.0,16.0,14.0,16.0,13.0,0.0,0.0,0.0,11.0,12.0,14.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0,4
274.0,15,32,8.90340972035,1.70847959319,0.0270935960591,12.8233880461,0.48275862069,16.7433090024,14.6557177616,16,2,90.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,10.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0,9
262.0,22,51,8.84004391793,0.686602316479,0.216748768473,14.4786630151,0.724137931034,14.9580152672,11.7792620865,23,1,90.0,0.0,0.0,12.0,16.0,16.0,16.0,12.0,0.0,0.0,9.0,16.0,16.0,15.0,16.0,6.0,0.0,0.0,11.0,13.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0,7
216.0,21,44,9.60747637135,0.773493023427,0.174653356239,14.7299162446,0.597582030714,14.3233024691,17.8047839506,25,0,83.9909944534,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,13.0,8.0,0.0,0.0,0.0,7.0,9.0,14.0,16.0,7.0,0.0,0,2
